---
# Velocity gradient along pathline with the following settings:
#   nsteps: 3116
#   ictrl:  7
#   eqincr: 0.02
#   temp:   298

schema:
  delimiter: ' '
  missing: '-'
  fields:
    - name: step
      type: integer
    - name: L11
      type: float
    - name: L12
      type: float
    - name: L13
      type: float
    - name: L21
      type: float
    - name: L22
      type: float
    - name: L23
      type: float
    - name: L31
      type: float
    - name: L32
      type: float
    - name: L33
      type: float
    - name: tincr
      type: float
---
step L11 L12 L13 L21 L22 L23 L31 L32 L33 tincr
1 -5.671780843779059e-06 0.0010472643327232782 0.0010385524011164774 0.0012845572488438116 0.00025784804822541983 -5.416946693300177e-05 -0.0012540700156241987 0.0013430024748595068 -0.0002459624274646967 -2.5
2 -2.6634031667150787e-05 0.0010634125595404898 0.0010076335694937416 0.0012881861494243127 0.00025586906419784234 -4.835888187422182e-05 -0.0012580073661268957 0.0013435927937909089 -0.0002523646860495124 -2.5
3 -2.6132113155902112e-05 0.0010648524693137762 0.001000679817532893 0.0012886581204069913 0.00025679543818406264 -4.6839296623642054e-05 -0.0012590046532833551 0.0013439247894756435 -0.000252655098383447 -2.5
4 -2.153858254542272e-05 0.0010673197235898959 0.0009913213816042422 0.0012784773754789325 0.0002755196426612003 -2.2225324522344867e-05 -0.001257735801495532 0.00137445781590528 -0.0002526667801942574 -2.5
5 -1.8941037854920652e-05 0.0010620321813863336 0.0009788733571414016 0.0012850419334427747 0.00028210150978924656 -2.533110049549294e-05 -0.001260135524742404 0.0013532720302860937 -0.0002542838773602326 -2.5
6 -1.918265566518533e-05 0.0010636077822956073 0.0009722226475500089 0.0012855355970561595 0.0002830501122473885 -2.4654878385193017e-05 -0.00126222375064471 0.0013518351846470483 -0.00025920237619514664 -2.5
7 -1.9249473365547784e-05 0.0010649571440008846 0.0009655180039319232 0.001285915164640835 0.00028370793592955555 -2.3685615126675377e-05 -0.0012642660947488362 0.001351059199901269 -0.00026404516417229395 -2.5
8 -1.937876025347446e-05 0.001066424130386215 0.0009588860098397912 0.0012864474805814189 0.0002845046823945849 -2.2713762852819147e-05 -0.0012675476099558091 0.0013505660909741363 -0.0002682611598362542 -2.5
9 -1.974858481868554e-05 0.001067570950417857 0.0009524020792754733 0.0012867957918847566 0.0002854664645687006 -2.1771527735238727e-05 -0.0012694193966492173 0.0013488634406602056 -0.00027257860408139145 -2.5
10 -1.6451096642464243e-05 -7.325303398471069e-05 0.00010707634100851703 0.0003576302623242392 -0.00026895142357108627 0.0004178434449340918 -0.0008989887341053528 0.0013681138693132603 -0.0010363278869385188 -2.5
11 -1.4039329317246977e-05 0.001106800354742543 0.0009582842980516163 0.001280951731629137 0.0002778761639609529 -2.069092551256311e-05 -0.0012864525587424 0.0013903608017795123 -0.00024530148372653367 -2.5
12 -1.4287793975539844e-05 0.0011079365326194719 0.0009524169421908197 0.0012813967029599437 0.0002788147263324923 -2.0280398112445238e-05 -0.0012886634515929302 0.001386418985141835 -0.0002494880236847547 -2.5
13 -1.4562752363450753e-05 0.0011082828927155763 0.0009462015874773718 0.0012816790411717537 0.0002797988734265944 -1.9894505595647918e-05 -0.0012909652007026633 0.0013859596624745164 -0.00025395042948112305 -2.5
14 -1.4875909882072575e-05 0.0011090749705696755 0.0009403055287892433 0.0012820469067232841 0.00028080870095907953 -1.9612462743736563e-05 -0.0012929857242729625 0.0013851690990058908 -0.0002589751298609688 -2.5
15 -3.711363303485421e-05 0.001126327815193802 0.0009095069011894429 0.0012853469405121447 0.000279768385630414 -1.5593736958802317e-05 -0.0012999289881559265 0.0013870433963549722 -0.0002670931472370359 -2.5
16 -4.263067881053503e-05 0.001126161659540182 0.0009077808289886178 0.0012979040011698027 0.0002823000451645574 -2.3171651255361616e-05 -0.0013019064787623499 0.0013860278017783253 -0.0002720246803548973 -2.5
17 -4.858926739773765e-05 0.0011388363353475315 0.0009146041307412179 0.00129388722047338 0.0002942090318012802 -1.0580482894685805e-05 -0.0013182742067187588 0.0014172526476263925 -0.00024279743754435069 -2.5
18 -4.882012989659553e-05 0.0011393531126516884 0.0009090897256762169 0.0012946346714322542 0.0002951958256306352 -9.382454592312254e-06 -0.0013208470673855945 0.001416768829433055 -0.00024606117431105924 -2.5
19 -4.942817331945883e-05 0.001139802427487601 0.0009036751694946591 0.0012953402824229972 0.0002962265731171828 -8.31881790190353e-06 -0.001322716437730945 0.0014153378485320508 -0.00024934610311784375 -2.5
20 -4.977326051032836e-05 0.0011405009067747592 0.0008982424934871761 0.0012960674603906465 0.00029730291160171907 -7.171343450942467e-06 -0.001324520494941488 0.0014141774272661651 -0.0002532058048234471 -2.5
21 -5.230085673170068e-05 0.0011407423548091093 0.0008945371242592947 0.0013063554487493655 0.0003000261744564933 -1.3333321232099395e-05 -0.0013210670161710862 0.001413475640570124 -0.0002600421350385897 -2.5
22 -5.2644292472134225e-05 0.0011412662037916647 0.0008891939941655356 0.001306955423024596 0.0003012069619428563 -1.2714194560542855e-05 -0.0013242419248132068 0.001412674943591319 -0.00026303086958452736 -2.5
23 -5.309776853674343e-05 0.0011417979461329946 0.0008838344207673356 0.001307751528972309 0.0003025159820608873 -1.2062464154846086e-05 -0.0013263466412189984 0.0014112299167193861 -0.0002656763442151509 -2.5
24 -5.65951720030663e-05 0.0011489437512515598 0.0008862788205897809 0.00130141033863522 0.00031984200226811796 5.213877291617627e-06 -0.0013368158531778737 0.0014286678440343459 -0.0002498621345138965 -2.5
25 -5.7159156158602894e-05 0.0011498606712380445 0.0008812583847383258 0.0013020798152474354 0.00032107820577924155 5.594734414105022e-06 -0.0013386291990991558 0.0014272015986403258 -0.00025346766931406945 -2.5
26 -5.740570596620317e-05 0.0011504575712047989 0.0008763484257505536 0.0013027597638107027 0.00032237365821500115 5.972730931525207e-06 -0.0013418528012936048 0.0014251100265947592 -0.0002572193952664796 -2.5
27 -6.75137094267334e-05 0.0011597141484851017 0.0008573562033411975 0.0013059198238633764 0.0003289735529729144 -5.799644677981038e-06 -0.001335473086964537 0.0014261063602255192 -0.00026760497975290777 -2.5
28 -6.761749821497015e-05 0.001160273257626859 0.0008518446180164375 0.0013065196787088128 0.0003299688810883539 -4.319153705490234e-06 -0.0013372546746065236 0.0014247664571941313 -0.0002707096699443941 -2.5
29 -6.822900344738768e-05 0.0011610413778812387 0.0008460509491224965 0.0013073529240781785 0.0003308875391811892 -2.8396796184876886e-06 -0.0013391661587598815 0.0014236378650069159 -0.0002738693147079276 -2.5
30 -6.894377223326409e-05 0.001163089616438036 0.0008405144320836786 0.001308139991006166 0.00033184609137010723 -1.356055527215269e-06 -0.0013411144690813458 0.0014221400128202341 -0.0002800054479181025 -2.5
31 -6.487953775794961e-05 0.0011529113857068423 0.0008240121155308651 0.0012963078474808425 0.0003621451264182723 3.0646270545286035e-05 -0.0013462878196656737 0.001423976871447699 -0.0002731687490640259 -2.5
32 -6.244623448547656e-05 0.0011386540082356348 0.0008164503854733531 0.0012963859022002502 0.000366612570028106 3.592352145655918e-05 -0.001337460125901543 0.0014085452693908648 -0.0003126068152208088 -2.5
33 -4.6789049027551626e-05 0.0011573382939255579 0.0007946323827964959 0.0012937089286048505 0.0003627352370177933 3.756586671676055e-05 -0.001328759273597089 0.0014293333973547666 -0.0002981047064235498 -2.5
34 -4.7650687705278886e-05 0.0011582635383318896 0.0007874486192075864 0.0012943380249760398 0.00036342647245083553 3.989761836186927e-05 -0.0013308020066065027 0.00142861386183044 -0.0003025291441252457 -2.5
35 -4.852077703591208e-05 0.0011590896337918927 0.0007801523721612791 0.0012953684542075048 0.0003639406582666561 4.221940987459903e-05 -0.0013357798562032505 0.0014270922606076082 -0.00030677429406447454 -2.5
36 -4.931370711009609e-05 0.001159978775363534 0.0007731012677647747 0.001296182986212585 0.0003645276212227631 4.4563846002989424e-05 -0.0013345433777148215 0.0014259348195289684 -0.0003109320996095055 -2.5
37 -5.020827556571557e-05 0.0011607673436535588 0.0007658647741380644 0.0012969796595004286 0.0003651550355154554 4.6914065876524496e-05 -0.0013370214305570994 0.0014251279369585752 -0.0003151025952125695 -2.5
38 -0.0007770541091318571 0.00011038530865774268 0.0007067877999069181 -7.673699545645681e-05 -0.0014474556051060283 7.161883940633278e-05 -0.001427875764646492 0.00143078238141936 -0.00034519802039171984 -2.5
39 -2.799529840819186e-05 0.0011778919873232582 0.0007402348272394959 0.0012814386748080855 0.00037439018073857417 7.065388422014147e-05 -0.0013377308395033523 0.001432893207434629 -0.0003205291378577164 -2.5
40 -5.788606809033907e-05 0.0012004216279247627 0.000701288096381424 0.0012868020151089784 0.00037171966039876146 7.825081781042239e-05 -0.001350479687717608 0.0014459773633999173 -0.00033230309420978325 -2.5
41 -5.8748773210718096e-05 0.0012015023528959162 0.0006944302719285439 0.0012878223566698307 0.00037298259359291045 8.034657135294017e-05 -0.0013516247787908218 0.001444490265307789 -0.0003362699620540044 -2.5
